,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Hindu,5455,5271,10726,,,,,,,,,,
,, Christian,3,3,6,,,,,,,,,,
,, Buddhist,11,9,20,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,138877,145012,283889,,,,,,,,,,
,Manpura,,Male,Female,Total,,,,,,,,,,
,, Muslim,36444,35541,71985,,,,,,,,,,
,, Hindu,2300,2294,4594,,,,,,,,,,
,, Christian,2,1,3,,,,,,,,,,
,, Total,38746,37836,76582,,,,,,,,,,
,Tazumuddin,,Male,Female,Total,,,,,,,,,,
,, Muslim,61064,57870,118934,,,,,,,,,,
,, Hindu,4071,3929,8000,,,,,,,,,,
,, Christian,3,1,4,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,65139,61801,126940,,,,,,,,,,
,Jhalokati,,Male,Female,Total,,,,,,,,,,
,, Muslim,88258,93920,182178,,,,,,,,,,
,, Hindu,17188,16936,34124,,,,,,,,,,
,, Christian,7,7,14,,,,,,,,,,
,, Buddhist,12,10,22,,,,,,,,,,
,, Other,7,12,19,,,,,,,,,,
,, Total,105472,110885,216357,,,,,,,,,,
,Kanthalia,,Male,Female,Total,,,,,,,,,,
,, Muslim,52039,55096,107135,,,,,,,,,,
,, Hindu,8477,8665,17142,,,,,,,,,,
,, Christian,4,2,6,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,60520,63764,124284,,,,,,,,,,
,Nalchity,,Male,Female,Total,,,,,,,,,,
,, Muslim,87281,96733,184014,,,,,,,,,,
,, Hindu,4794,4637,9431,,,,,,,,,,
,, Christian,35,38,73,,,,,,,,,,
,, Other,4,3,7,,,,,,,,,,
,, Total,92114,101411,193525,,,,,,,,,,
,Rajapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,66999,73382,140381,,,,,,,,,,
,, Hindu,3965,3951,7916,,,,,,,,,,
,, Christian,5,8,13,,,,,,,,,,
,, Buddhist,64,109,173,,,,,,,,,,
,, Other,8,12,20,,,,,,,,,,
,, Total,71041,77462,148503,,,,,,,,,,
,Bauphal,,Male,Female,Total,,,,,,,,,,
,, Muslim,132237,147448,279685,,,,,,,,,,
,, Hindu,12291,12279,24570,,,,,,,,,,
,, Christian,12,8,20,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,3,3,6,,,,,,,,,,
,, Total,144545,159739,304284,,,,,,,,,,
,Dashmina,,Male,Female,Total,,,,,,,,,,
,, Muslim,56401,59131,115532,,,,,,,,,,
,, Hindu,3838,4012,7850,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Total,60241,63147,123388,,,,,,,,,,
,Dumki,,Male,Female,Total,,,,,,,,,,
,, Muslim,30807,33927,64734,,,,,,,,,,
,, Hindu,2976,2906,5882,,,,,,,,,,
,, Christian,14,15,29,,,,,,,,,,
,, Buddhist,2,4,6,,,,,,,,,,
,, Other,3,1,4,,,,,,,,,,
,, Total,33802,36853,70655,,,,,,,,,,
,Galachipa,,Male,Female,Total,,,,,,,,,,
,, Muslim,168033,170290,338323,,,,,,,,,,
,, Hindu,11557,11512,23069,,,,,,,,,,
,, Christian,9,8,17,,,,,,,,,,
,, Buddhist,53,53,106,,,,,,,,,,
,, Other,-,3,3,,,,,,,,,,
,, Total,179652,181866,361518,,,,,,,,,,
,Kalapara,,Male,Female,Total,,,,,,,,,,
,, Muslim,114139,111206,225345,,,,,,,,,,
,, Hindu,5679,5446,11125,,,,,,,,,,
,, Christian,82,63,145,,,,,,,,,,
,, Buddhist,601,595,1196,,,,,,,,,,
,, Other,13,7,20,,,,,,,,,,
,, Total,120514,117317,237831,,,,,,,,,,
,Mirzaganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,54414,57477,111891,,,,,,,,,,
,, Hindu,4874,4943,9817,,,,,,,,,,
,, Christian,2,1,3,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,2,2,4,,,,,,,,,,
,, Total,59292,62424,121716,,,,,,,,,,
,Patuakhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,143591,149500,293091,,,,,,,,,,
,, Hindu,11714,11469,23183,,,,,,,,,,
,, Christian,53,72,125,,,,,,,,,,
,, Buddhist,22,21,43,,,,,,,,,,
,, Other,15,5,20,,,,,,,,,,
,, Total,155395,161067,316462,,,,,,,,,,
,Bhandaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,65344,68791,134135,,,,,,,,,,
,, Hindu,6956,7053,14009,,,,,,,,,,
,, Christian,8,7,15,,,,,,,,,,
,, Total,72308,75851,148159,,,,,,,,,,
,Kawkhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,29452,29966,59418,,,,,,,,,,
,, Hindu,5437,5268,10705,,,,,,,,,,
,, Christian,4,1,5,,,,,,,,,,
,, Other,-,2,2,,,,,,,,,,
,, Total,34893,35237,70130,,,,,,,,,,
,Mathbaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,115750,120594,236344,,,,,,,,,,
,, Hindu,13006,13301,26307,,,,,,,,,,
,, Christian,13,13,26,,,,,,,,,,
,, Buddhist,60,77,137,,,,,,,,,,
,, Other,16,11,27,,,,,,,,,,
,, Total,128845,133996,262841,,,,,,,,,,
