,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Other,29,22,51,,,,,,,,,,
,, Total,69752,62925,132677,,,,,,,,,,
,Rangunia,,Male,Female,Total,,,,,,,,,,
,, Muslim,139933,140426,280359,,,,,,,,,,
,, Hindu,20845,21781,42626,,,,,,,,,,
,, Christian,167,165,332,,,,,,,,,,
,, Buddhist,7426,8195,15621,,,,,,,,,,
,, Other,41,25,66,,,,,,,,,,
,, Total,168412,170592,339004,,,,,,,,,,
,Raozan,,Male,Female,Total,,,,,,,,,,
,, Muslim,119901,127347,247248,,,,,,,,,,
,, Hindu,26508,27900,54408,,,,,,,,,,
,, Christian,15,17,32,,,,,,,,,,
,, Buddhist,9804,11291,21095,,,,,,,,,,
,, Other,27,30,57,,,,,,,,,,
,, Total,156255,166585,322840,,,,,,,,,,
,Sandwip,,Male,Female,Total,,,,,,,,,,
,, Muslim,116101,136918,253019,,,,,,,,,,
,, Hindu,12478,12961,25439,,,,,,,,,,
,, Buddhist,6,1,7,,,,,,,,,,
,, Other,71,69,140,,,,,,,,,,
,, Total,128656,149949,278605,,,,,,,,,,
,Satkania,,Male,Female,Total,,,,,,,,,,
,, Muslim,167923,179090,347013,,,,,,,,,,
,, Hindu,16410,17703,34113,,,,,,,,,,
,, Christian,16,15,31,,,,,,,,,,
,, Buddhist,1588,1932,3520,,,,,,,,,,
,, Other,70,59,129,,,,,,,,,,
,, Total,186007,198799,384806,,,,,,,,,,
,Sitakunda,,Male,Female,Total,,,,,,,,,,
,, Muslim,174679,159374,334053,,,,,,,,,,
,, Hindu,26366,25431,51797,,,,,,,,,,
,, Christian,135,94,229,,,,,,,,,,
,, Buddhist,714,631,1345,,,,,,,,,,
,, Other,243,165,408,,,,,,,,,,
,, Total,202137,185695,387832,,,,,,,,,,
,Barura,,Male,Female,Total,,,,,,,,,,
,, Muslim,176639,200116,376755,,,,,,,,,,
,, Hindu,13494,14483,27977,,,,,,,,,,
,, Christian,2,2,4,,,,,,,,,,
,, Buddhist,173,206,379,,,,,,,,,,
,, Other,1,2,3,,,,,,,,,,
,, Total,190309,214809,405118,,,,,,,,,,
,Brahman Para,,Male,Female,Total,,,,,,,,,,
,, Muslim,94876,104500,199376,,,,,,,,,,
,, Hindu,2549,2748,5297,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,6,5,11,,,,,,,,,,
,, Total,97434,107257,204691,,,,,,,,,,
,Burichang,,Male,Female,Total,,,,,,,,,,
,, Muslim,140609,150332,290941,,,,,,,,,,
,, Hindu,5334,5497,10831,,,,,,,,,,
,, Christian,26,5,31,,,,,,,,,,
,, Buddhist,5,2,7,,,,,,,,,,
,, Other,8,7,15,,,,,,,,,,
,, Total,145982,155843,301825,,,,,,,,,,
,Chandina,,Male,Female,Total,,,,,,,,,,
,, Muslim,154458,172214,326672,,,,,,,,,,
,, Hindu,11386,12164,23550,,,,,,,,,,
,, Christian,4,4,8,,,,,,,,,,
,, Buddhist,4,3,7,,,,,,,,,,
,, Other,22,14,36,,,,,,,,,,
,, Total,165874,184399,350273,,,,,,,,,,
,Chauddagram,,Male,Female,Total,,,,,,,,,,
,, Muslim,204134,231441,435575,,,,,,,,,,
,, Hindu,3854,3895,7749,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Buddhist,157,160,317,,,,,,,,,,
,, Other,2,3,5,,,,,,,,,,
,, Total,208148,235500,443648,,,,,,,,,,
,Comilla,,Male,Female,Total,,,,,,,,,,
,, Muslim,199744,211389,411133,,,,,,,,,,
,, Hindu,7240,7164,14404,,,,,,,,,,
,, Christian,55,20,75,,,,,,,,,,
,, Buddhist,882,805,1687,,,,,,,,,,
,, Other,46,46,92,,,,,,,,,,
,, Total,207967,219424,427391,,,,,,,,,,
,Daudkandi,,Male,Female,Total,,,,,,,,,,
,, Muslim,157630,169329,326959,,,,,,,,,,
,, Hindu,11417,11456,22873,,,,,,,,,,
,, Christian,51,2,53,,,,,,,,,,
,, Buddhist,4,2,6,,,,,,,,,,
,, Other,7,12,19,,,,,,,,,,
,, Total,169109,180801,349910,,,,,,,,,,
,Debidwar,,Male,Female,Total,,,,,,,,,,
,, Muslim,193380,215258,408638,,,,,,,,,,
,, Hindu,10812,11865,22677,,,,,,,,,,
,, Christian,4,7,11,,,,,,,,,,
,, Buddhist,3,-,3,,,,,,,,,,
,, Other,8,15,23,,,,,,,,,,
,, Total,204207,227145,431352,,,,,,,,,,
,Homna,,Male,Female,Total,,,,,,,,,,
,, Muslim,94250,100046,194296,,,,,,,,,,
,, Hindu,5993,6092,12085,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,100245,106141,206386,,,,,,,,,,
,Comilla Adarsha,,Male,Female,Total,,,,,,,,,,
,, Muslim,251973,245112,497085,,,,,,,,,,
,, Hindu,17803,16828,34631,,,,,,,,,,
,, Christian,96,100,196,,,,,,,,,,
,, Buddhist,278,181,459,,,,,,,,,,
,, Other,19,29,48,,,,,,,,,,
,, Total,270169,262250,532419,,,,,,,,,,
,Laksam,,Male,Female,Total,,,,,,,,,,
,, Muslim,132613,146060,278673,,,,,,,,,,
,, Hindu,6957,6949,13906,,,,,,,,,,
,, Christian,19,13,32,,,,,,,,,,
,, Buddhist,1018,1016,2034,,,,,,,,,,
,, Other,34,40,74,,,,,,,,,,
,, Total,140641,154078,294719,,,,,,,,,,
,Manoharganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,108723,128869,237592,,,,,,,,,,
,, Hindu,3609,3731,7340,,,,,,,,,,
,, Christian,-,1,1,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,6,3,9,,,,,,,,,,
,, Total,112339,132604,244943,,,,,,,,,,
,Meghna,,Male,Female,Total,,,,,,,,,,
,, Muslim,53448,53256,106704,,,,,,,,,,
,, Hindu,3000,2742,5742,,,,,,,,,,
,, Christian,3,1,4,,,,,,,,,,
,, Other,2,1,3,,,,,,,,,,
,, Total,56453,56000,112453,,,,,,,,,,
,Muradnagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,229401,256288,485689,,,,,,,,,,
,, Hindu,18142,19641,37783,,,,,,,,,,
,, Christian,8,6,14,,,,,,,,,,
,, Buddhist,11,8,19,,,,,,,,,,
,, Other,29,22,51,,,,,,,,,,
,, Total,247591,275965,523556,,,,,,,,,,
,Nangalkot,,Male,Female,Total,,,,,,,,,,
,, Muslim,169252,200224,369476,,,,,,,,,,
,, Hindu,2186,2304,4490,,,,,,,,,,
,, Christian,6,1,7,,,,,,,,,,
,, Buddhist,4,6,10,,,,,,,,,,
,, Other,2,2,4,,,,,,,,,,
,, Total,171450,202537,373987,,,,,,,,,,
,Titas,,Male,Female,Total,,,,,,,,,,
,, Muslim,83696,94150,177846,,,,,,,,,,
,, Hindu,3403,3367,6770,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,87100,97517,184617,,,,,,,,,,
,Chakaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,223317,219482,442799,,,,,,,,,,
,, Hindu,13243,12899,26142,,,,,,,,,,
,, Christian,625,640,1265,,,,,,,,,,
,, Buddhist,1982,2225,4207,,,,,,,,,,
,, Other,31,21,52,,,,,,,,,,
,, Total,239198,235267,474465,,,,,,,,,,
,Cox's bazar,,Male,Female,Total,,,,,,,,,,
,, Muslim,222701,200441,423142,,,,,,,,,,
,, Hindu,15786,13736,29522,,,,,,,,,,
,, Christian,73,67,140,,,,,,,,,,
,, Buddhist,2821,2960,5781,,,,,,,,,,
,, Other,256,241,497,,,,,,,,,,
,, Total,241637,217445,459082,,,,,,,,,,
,Kutubdia,,Male,Female,Total,,,,,,,,,,
,, Muslim,60040,57282,117322,,,,,,,,,,
,, Hindu,4018,3884,7902,,,,,,,,,,
,, Christian,-,2,2,,,,,,,,,,
,, Buddhist,5,-,5,,,,,,,,,,
,, Other,30,18,48,,,,,,,,,,
,, Total,64093,61186,125279,,,,,,,,,,
,Maheshkhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,155732,146126,301858,,,,,,,,,,
,, Hindu,8625,8022,16647,,,,,,,,,,
,, Christian,5,1,6,,,,,,,,,,
,, Buddhist,1316,1366,2682,,,,,,,,,,
,, Other,15,10,25,,,,,,,,,,
,, Total,165693,155525,321218,,,,,,,,,,
,Pekua,,Male,Female,Total,,,,,,,,,,
,, Muslim,85526,84479,170005,,,,,,,,,,
,, Hindu,695,688,1383,,,,,,,,,,
,, Christian,4,2,6,,,,,,,,,,
,, Buddhist,84,58,142,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,86310,85228,171538,,,,,,,,,,
,Ramu,,Male,Female,Total,,,,,,,,,,
,, Muslim,126153,122613,248766,,,,,,,,,,
,, Hindu,4398,4347,8745,,,,,,,,,,
,, Christian,16,28,44,,,,,,,,,,
,, Buddhist,4354,4562,8916,,,,,,,,,,
,, Other,79,90,169,,,,,,,,,,
,, Total,135000,131640,266640,,,,,,,,,,
,Teknaf,,Male,Female,Total,,,,,,,,,,
,, Muslim,129884,128361,258245,,,,,,,,,,
,, Hindu,1609,1358,2967,,,,,,,,,,
,, Christian,6,3,9,,,,,,,,,,
,, Buddhist,1568,1521,3089,,,,,,,,,,
,, Other,39,40,79,,,,,,,,,,
,, Total,133106,131283,264389,,,,,,,,,,
,Ukhia,,Male,Female,Total,,,,,,,,,,
,, Muslim,95757,94064,189821,,,,,,,,,,
,, Hindu,2217,2123,4340,,,,,,,,,,
,, Christian,23,8,31,,,,,,,,,,
,, Buddhist,6476,6524,13000,,,,,,,,,,
,, Other,94,93,187,,,,,,,,,,
,, Total,104567,102812,207379,,,,,,,,,,
,Chhagalnaiya,,Male,Female,Total,,,,,,,,,,
,, Muslim,86971,95222,182193,,,,,,,,,,
,, Hindu,2465,2422,4887,,,,,,,,,,
,, Christian,15,10,25,,,,,,,,,,
,, Buddhist,30,4,34,,,,,,,,,,
,, Other,13,4,17,,,,,,,,,,
,, Total,89494,97662,187156,,,,,,,,,,
,Daganbhuiyan,,Male,Female,Total,,,,,,,,,,
,, Muslim,111488,127971,239459,,,,,,,,,,
,, Hindu,7235,7654,14889,,,,,,,,,,
,, Christian,10,18,28,,,,,,,,,,
,, Buddhist,13,5,18,,,,,,,,,,
,, Other,6,2,8,,,,,,,,,,
,, Total,118752,135650,254402,,,,,,,,,,
,Feni,,Male,Female,Total,,,,,,,,,,
,, Muslim,237045,240732,477777,,,,,,,,,,
,, Hindu,17406,17011,34417,,,,,,,,,,
,, Christian,87,28,115,,,,,,,,,,
,, Buddhist,169,85,254,,,,,,,,,,
,, Other,44,39,83,,,,,,,,,,
,, Total,254751,257895,512646,,,,,,,,,,
,Fulgazi,,Male,Female,Total,,,,,,,,,,
,, Muslim,54820,55536,110356,,,,,,,,,,
,, Hindu,4675,4522,9197,,,,,,,,,,
,, Christian,1,3,4,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,59497,60061,119558,,,,,,,,,,
,Parshuram,,Male,Female,Total,,,,,,,,,,
,, Muslim,45944,50928,96872,,,,,,,,,,
,, Hindu,2027,2148,4175,,,,,,,,,,
,, Christian,2,-,2,,,,,,,,,,
,, Buddhist,2,3,5,,,,,,,,,,
,, Other,6,2,8,,,,,,,,,,
,, Total,47981,53081,101062,,,,,,,,,,
,Sonagazi,,Male,Female,Total,,,,,,,,,,
,, Muslim,115644,130565,246209,,,,,,,,,,
,, Hindu,7940,8268,16208,,,,,,,,,,
,, Christian,4,4,8,,,,,,,,,,
,, Buddhist,48,49,97,,,,,,,,,,
,, Other,17,8,25,,,,,,,,,,
,, Total,123653,138894,262547,,,,,,,,,,
,Dighinala,,Male,Female,Total,,,,,,,,,,
,, Muslim,18174,16467,34641,,,,,,,,,,
,, Hindu,4888,4762,9650,,,,,,,,,,
,, Christian,229,187,416,,,,,,,,,,
,, Buddhist,29759,28920,58679,,,,,,,,,,
,, Other,4,2,6,,,,,,,,,,
,, Total,53054,50338,103392,,,,,,,,,,
,Khagrachhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,20679,15920,36599,,,,,,,,,,
,, Hindu,14518,14072,28590,,,,,,,,,,
,, Christian,1046,1003,2049,,,,,,,,,,
,, Buddhist,22112,22462,44574,,,,,,,,,,
,, Other,11,10,21,,,,,,,,,,
,, Total,58366,53467,111833,,,,,,,,,,
,Lakshmichhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,2497,2165,4662,,,,,,,,,,
,, Hindu,371,282,653,,,,,,,,,,
,, Christian,12,16,28,,,,,,,,,,
,, Buddhist,10497,10141,20638,,,,,,,,,,
,, Other,7,6,13,,,,,,,,,,
,, Total,13384,12610,25994,,,,,,,,,,
,Mahalchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,7488,6174,13662,,,,,,,,,,
,, Hindu,2735,2613,5348,,,,,,,,,,
,, Christian,121,109,230,,,,,,,,,,
,, Buddhist,15991,15474,31465,,,,,,,,,,
,, Other,24,28,52,,,,,,,,,,
,, Total,26359,24398,50757,,,,,,,,,,
,Manikchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,20445,20091,40536,,,,,,,,,,
,, Hindu,3066,3211,6277,,,,,,,,,,
,, Christian,220,212,432,,,,,,,,,,
,, Buddhist,7191,7117,14308,,,,,,,,,,
,, Other,17,19,36,,,,,,,,,,
,, Total,30939,30650,61589,,,,,,,,,,
,Matiranga,,Male,Female,Total,,,,,,,,,,
,, Muslim,42356,41670,84026,,,,,,,,,,
,, Hindu,14652,14344,28996,,,,,,,,,,
,, Christian,249,216,465,,,,,,,,,,
,, Buddhist,6303,6418,12721,,,,,,,,,,
,, Other,135,134,269,,,,,,,,,,
,, Total,63695,62782,126477,,,,,,,,,,
,Panchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,9607,9209,18816,,,,,,,,,,
,, Hindu,6240,6124,12364,,,,,,,,,,
,, Christian,162,124,286,,,,,,,,,,
,, Buddhist,15121,15173,30294,,,,,,,,,,
,, Other,222,216,438,,,,,,,,,,
,, Total,31352,30846,62198,,,,,,,,,,
,Ramgarh,,Male,Female,Total,,,,,,,,,,
,, Muslim,21418,19898,41316,,,,,,,,,,
,, Hindu,5627,5690,11317,,,,,,,,,,
,, Christian,81,83,164,,,,,,,,,,
,, Buddhist,9406,9224,18630,,,,,,,,,,
,, Other,112,138,250,,,,,,,,,,
,, Total,36644,35033,71677,,,,,,,,,,
,Kamalnagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,109301,109753,219054,,,,,,,,,,
,, Hindu,1939,1914,3853,,,,,,,,,,
,, Christian,3,1,4,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,2,1,3,,,,,,,,,,
,, Total,111245,111670,222915,,,,,,,,,,
,Lakshmipur,,Male,Female,Total,,,,,,,,,,
,, Muslim,312442,346282,658724,,,,,,,,,,
,, Hindu,12695,12849,25544,,,,,,,,,,
,, Christian,17,16,33,,,,,,,,,,
,, Buddhist,58,44,102,,,,,,,,,,
,, Other,22,-,22,,,,,,,,,,
,, Total,325234,359191,684425,,,,,,,,,,
,Roypur,,Male,Female,Total,,,,,,,,,,
,, Muslim,127786,138436,266222,,,,,,,,,,
,, Hindu,4477,4426,8903,,,,,,,,,,
,, Christian,4,3,7,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,14,9,23,,,,,,,,,,
,, Total,132284,142876,275160,,,,,,,,,,
,Ramganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,125587,149950,275537,,,,,,,,,,
,, Hindu,4971,5160,10131,,,,,,,,,,
,, Christian,4,5,9,,,,,,,,,,
,, Buddhist,5,3,8,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,130568,155118,285686,,,,,,,,,,
,Ramgati,,Male,Female,Total,,,,,,,,,,
,, Muslim,122983,126975,249958,,,,,,,,,,
,, Hindu,5437,5549,10986,,,,,,,,,,
,, Christian,27,26,53,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,128449,132553,261002,,,,,,,,,,
,Begumganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,247012,274194,521206,,,,,,,,,,
,, Hindu,14161,13888,28049,,,,,,,,,,
,, Christian,14,7,21,,,,,,,,,,
,, Buddhist,18,7,25,,,,,,,,,,
,, Other,5,2,7,,,,,,,,,,
,, Total,261210,288098,549308,,,,,,,,,,
,Chatkhil,,Male,Female,Total,,,,,,,,,,
,, Muslim,104277,121424,225701,,,,,,,,,,
,, Hindu,3718,3791,7509,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Buddhist,13,4,17,,,,,,,,,,
,, Other,12,12,24,,,,,,,,,,
,, Total,108021,125232,233253,,,,,,,,,,
,Companiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,112849,122953,235802,,,,,,,,,,
,, Hindu,7220,7528,14748,,,,,,,,,,
,, Christian,6,5,11,,,,,,,,,,
,, Buddhist,10,2,12,,,,,,,,,,
,, Other,3,3,6,,,,,,,,,,
,, Total,120088,130491,250579,,,,,,,,,,
,Hatiya,,Male,Female,Total,,,,,,,,,,
,, Muslim,209968,214687,424655,,,,,,,,,,
,, Hindu,13839,13890,27729,,,,,,,,,,
,, Christian,9,12,21,,,,,,,,,,
,, Buddhist,17,6,23,,,,,,,,,,
,, Other,20,15,35,,,,,,,,,,
,, Total,223853,228610,452463,,,,,,,,,,
,Kabirhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,87961,99310,187271,,,,,,,,,,
,, Hindu,4637,5029,9666,,,,,,,,,,
,, Christian,-,2,2,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Total,92601,104343,196944,,,,,,,,,,
,Senbagh,,Male,Female,Total,,,,,,,,,,
,, Muslim,127900,143910,271810,,,,,,,,,,
,, Hindu,5391,5578,10969,,,,,,,,,,
,, Christian,4,2,6,,,,,,,,,,
,, Buddhist,45,61,106,,,,,,,,,,
,, Other,1,2,3,,,,,,,,,,
,, Total,133341,149553,282894,,,,,,,,,,
,Sonaimuri,,Male,Female,Total,,,,,,,,,,
,, Muslim,145150,172627,317777,,,,,,,,,,
,, Hindu,4519,4708,9227,,,,,,,,,,
,, Christian,-,1,1,,,,,,,,,,
,, Buddhist,79,105,184,,,,,,,,,,
,, Other,3,2,5,,,,,,,,,,
,, Total,149751,177443,327194,,,,,,,,,,
,Subarnachar,,Male,Female,Total,,,,,,,,,,
,, Muslim,135137,137339,272476,,,,,,,,,,
,, Hindu,8375,8629,17004,,,,,,,,,,
,, Christian,16,13,29,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,3,1,4,,,,,,,,,,
,, Total,143532,145982,289514,,,,,,,,,,
,Noakhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,244416,264836,509252,,,,,,,,,,
,, Hindu,7888,7752,15640,,,,,,,,,,
,, Christian,362,479,841,,,,,,,,,,
,, Buddhist,100,85,185,,,,,,,,,,
,, Other,6,10,16,,,,,,,,,,
,, Total,252772,273162,525934,,,,,,,,,,
,Baghaichhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,11968,10040,22008,,,,,,,,,,
,, Hindu,3243,2897,6140,,,,,,,,,,
,, Christian,447,411,858,,,,,,,,,,
,, Buddhist,34881,32915,67796,,,,,,,,,,
,, Other,56,41,97,,,,,,,,,,
,, Total,50595,46304,96899,,,,,,,,,,
,Barkal,,Male,Female,Total,,,,,,,,,,
,, Muslim,6558,4465,11023,,,,,,,,,,
,, Hindu,334,174,508,,,,,,,,,,
,, Christian,166,152,318,,,,,,,,,,
,, Buddhist,18550,17118,35668,,,,,,,,,,
,, Other,6,-,6,,,,,,,,,,
,, Total,25614,21909,47523,,,,,,,,,,
,Kawkhali (betbunia),,Male,Female,Total,,,,,,,,,,
,, Muslim,11549,10381,21930,,,,,,,,,,
,, Hindu,991,894,1885,,,,,,,,,,
,, Christian,44,39,83,,,,,,,,,,
,, Buddhist,17908,17732,35640,,,,,,,,,,
,, Other,24,16,40,,,,,,,,,,
,, Total,30516,29062,59578,,,,,,,,,,
,Belai chhari  upazi,,Male,Female,Total,,,,,,,,,,
,, Muslim,1969,1105,3074,,,,,,,,,,
,, Hindu,293,174,467,,,,,,,,,,
,, Christian,1381,1415,2796,,,,,,,,,,
,, Buddhist,11486,10609,22095,,,,,,,,,,
,, Other,45,48,93,,,,,,,,,,
,, Total,15174,13351,28525,,,,,,,,,,
,Kaptai,,Male,Female,Total,,,,,,,,,,
,, Muslim,17106,13498,30604,,,,,,,,,,
,, Hindu,1927,1699,3626,,,,,,,,,,
,, Christian,203,249,452,,,,,,,,,,
,, Buddhist,12530,12439,24969,,,,,,,,,,
,, Other,32,10,42,,,,,,,,,,
,, Total,31798,27895,59693,,,,,,,,,,
,Jurai chhari upazil,,Male,Female,Total,,,,,,,,,,
,, Muslim,1181,84,1265,,,,,,,,,,
,, Hindu,89,43,132,,,,,,,,,,
,, Christian,42,48,90,,,,,,,,,,
,, Buddhist,13518,12761,26279,,,,,,,,,,
,, Other,9,11,20,,,,,,,,,,
,, Total,14839,12947,27786,,,,,,,,,,
,Langadu,,Male,Female,Total,,,,,,,,,,
,, Muslim,30831,28680,59511,,,,,,,,,,
,, Hindu,576,469,1045,,,,,,,,,,
,, Christian,122,122,244,,,,,,,,,,
,, Buddhist,10674,10034,20708,,,,,,,,,,
,, Other,23,17,40,,,,,,,,,,
,, Total,42226,39322,81548,,,,,,,,,,
,Naniarchar,,Male,Female,Total,,,,,,,,,,
,, Muslim,3469,2733,6202,,,,,,,,,,
,, Hindu,498,395,893,,,,,,,,,,
,, Christian,67,60,127,,,,,,,,,,
,, Buddhist,18466,17917,36383,,,,,,,,,,
,, Other,7,4,11,,,,,,,,,,
,, Total,22507,21109,43616,,,,,,,,,,
,Rajasthali,,Male,Female,Total,,,,,,,,,,
,, Muslim,2973,2292,5265,,,,,,,,,,
,, Hindu,1030,995,2025,,,,,,,,,,
,, Christian,1697,1514,3211,,,,,,,,,,
,, Buddhist,7888,7680,15568,,,,,,,,,,
,, Other,7,7,14,,,,,,,,,,
,, Total,13595,12488,26083,,,,,,,,,,
,Rangamati  up,,Male,Female,Total,,,,,,,,,,
,, Muslim,27617,20966,48583,,,,,,,,,,
,, Hindu,7076,6447,13523,,,,,,,,,,
,, Christian,240,244,484,,,,,,,,,,
,, Buddhist,31173,30759,61932,,,,,,,,,,
,, Other,106,100,206,,,,,,,,,,
,, Total,66212,58516,124728,,,,,,,,,,
,Adabor,,Male,Female,Total,,,,,,,,,,
,, Muslim,107128,92979,200107,,,,,,,,,,
,, Hindu,1902,1379,3281,,,,,,,,,,
,, Christian,204,200,404,,,,,,,,,,
,, Buddhist,98,58,156,,,,,,,,,,
,, Other,22,19,41,,,,,,,,,,
,, Total,109354,94635,203989,,,,,,,,,,
,Badda,,Male,Female,Total,,,,,,,,,,
,, Muslim,287261,223206,510467,,,,,,,,,,
,, Hindu,11535,8264,19799,,,,,,,,,,
,, Christian,2888,2539,5427,,,,,,,,,,
,, Buddhist,437,290,727,,,,,,,,,,
,, Other,107,94,201,,,,,,,,,,
,, Total,302228,234393,536621,,,,,,,,,,
,Bangshal,,Male,Female,Total,,,,,,,,,,
,, Muslim,117335,64337,181672,,,,,,,,,,
,, Hindu,3024,2209,5233,,,,,,,,,,
,, Christian,20,23,43,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,120382,66570,186952,,,,,,,,,,
,Biman bandar,,Male,Female,Total,,,,,,,,,,
,, Muslim,5893,4174,10067,,,,,,,,,,
,, Hindu,275,213,488,,,,,,,,,,
,, Christian,18,12,30,,,,,,,,,,
,, Buddhist,16,9,25,,,,,,,,,,
,, Other,5,11,16,,,,,,,,,,
,, Total,6207,4419,10626,,,,,,,,,,
,Cantonment,,Male,Female,Total,,,,,,,,,,
,, Muslim,73551,55679,129230,,,,,,,,,,
,, Hindu,1191,653,1844,,,,,,,,,,
,, Christian,289,226,515,,,,,,,,,,
,, Buddhist,140,79,219,,,,,,,,,,
,, Other,30,26,56,,,,,,,,,,
,, Total,75201,56663,131864,,,,,,,,,,
,Chak bazar,,Male,Female,Total,,,,,,,,,,
,, Muslim,98953,53935,152888,,,,,,,,,,
,, Hindu,1952,1164,3116,,,,,,,,,,
,, Christian,82,14,96,,,,,,,,,,
,, Buddhist,27,18,45,,,,,,,,,,
,, Other,2,-,2,,,,,,,,,,
,, Total,101016,55131,156147,,,,,,,,,,
,Dakshinkhan,,Male,Female,Total,,,,,,,,,,
,, Muslim,133112,116606,249718,,,,,,,,,,
,, Hindu,3083,2401,5484,,,,,,,,,,
,, Christian,295,293,588,,,,,,,,,,
,, Buddhist,48,32,80,,,,,,,,,,
,, Other,34,27,61,,,,,,,,,,
,, Total,136572,119359,255931,,,,,,,,,,
,Darus salam,,Male,Female,Total,,,,,,,,,,
,, Muslim,83670,69795,153465,,,,,,,,,,
,, Hindu,3133,2308,5441,,,,,,,,,,
,, Christian,98,86,184,,,,,,,,,,
,, Buddhist,17,18,35,,,,,,,,,,
,, Other,8,6,14,,,,,,,,,,
,, Total,86926,72213,159139,,,,,,,,,,
,Demra,,Male,Female,Total,,,,,,,,,,
,, Muslim,118610,102143,220753,,,,,,,,,,
,, Hindu,3147,2691,5838,,,,,,,,,,
,, Christian,24,17,41,,,,,,,,,,
,, Buddhist,18,16,34,,,,,,,,,,
,, Other,6,7,13,,,,,,,,,,
,, Total,121805,104874,226679,,,,,,,,,,
,Dhamrai,,Male,Female,Total,,,,,,,,,,
,, Muslim,185159,183613,368772,,,,,,,,,,
,, Hindu,21765,21616,43381,,,,,,,,,,
,, Christian,24,18,42,,,,,,,,,,
,, Buddhist,125,93,218,,,,,,,,,,
,, Other,5,-,5,,,,,,,,,,
,, Total,207078,205340,412418,,,,,,,,,,
,302616,,Male,Female,Total,,,,,,,,,,
,, Muslim,75248,64847,140095,,,,,,,,,,
,, Hindu,3828,2884,6712,,,,,,,,,,
,, Christian,241,341,582,,,,,,,,,,
,, Buddhist,125,87,212,,,,,,,,,,
,, Other,23,19,42,,,,,,,,,,
,, Total,79465,68178,147643,,,,,,,,,,
,Dohar,,Male,Female,Total,,,,,,,,,,
,, Muslim,101687,113947,215634,,,,,,,,,,
,, Hindu,5154,5146,10300,,,,,,,,,,
,, Christian,174,281,455,,,,,,,,,,
,, Buddhist,21,17,38,,,,,,,,,,
,, Other,5,7,12,,,,,,,,,,
,, Total,107041,119398,226439,,,,,,,,,,
,Gendaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,68639,54911,123550,,,,,,,,,,
,, Hindu,7540,6179,13719,,,,,,,,,,
,, Christian,248,180,428,,,,,,,,,,
,, Buddhist,16,4,20,,,,,,,,,,
,, Other,3,1,4,,,,,,,,,,
,, Total,76446,61275,137721,,,,,,,,,,
,Gulshan,,Male,Female,Total,,,,,,,,,,
,, Muslim,128102,103106,231208,,,,,,,,,,
,, Hindu,5801,4244,10045,,,,,,,,,,
,, Christian,5187,4622,9809,,,,,,,,,,
,, Buddhist,1069,617,1686,,,,,,,,,,
,, Other,163,139,302,,,,,,,,,,
,, Total,140322,112728,253050,,,,,,,,,,
,302628,,Male,Female,Total,,,,,,,,,,
,, Muslim,96316,80996,177312,,,,,,,,,,
,, Hindu,4361,3790,8151,,,,,,,,,,
,, Christian,69,49,118,,,,,,,,,,
,, Buddhist,29,28,57,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,100776,84863,185639,,,,,,,,,,
